Name,Subtitle,Color,Price,Sale Price,Link
,,,,,
Nike Sportswear Sport Essentials+,Men's Fleece Full-Zip Jacket,3 Colors,$150,,https://www.nike.com/t/sportswear-sport-essentials-mens-fleece-full-zip-jacket-GqXBz8/DD5021-087
Nike Sportswear Style Essentials,Men's Unlined Cropped Pants,5 Colors,$85,,https://www.nike.com/t/sportswear-style-essentials-mens-unlined-cropped-pants-tWG7Gw/DD7032-208
Nike Sportswear Club Fleece,Pullover Hoodie,13 Colors,$55,,https://www.nike.com/t/sportswear-club-fleece-pullover-hoodie-Gw4Nwq/BV2654-327
Nike Sportswear Club Fleece,Joggers,13 Colors,$55,,https://www.nike.com/t/sportswear-club-fleece-joggers-KflRdQ/BV2671-327
Nike Sportswear Sport Essentials+,Men's 1/2-Zip Hoodie,2 Colors,$130,,https://www.nike.com/t/sportswear-sport-essentials-mens-1-2-zip-hoodie-Wmlbt2/DD5009-072
Nike Sportswear Style Essentials,Men's Woven Unlined Cargo Pants,3 Colors,$85,,https://www.nike.com/t/sportswear-style-essentials-mens-woven-unlined-cargo-pants-8DqpVJ/DD7034-208
Nike Sportswear Sport Essentials+,Men's Pullover Hoodie,4 Colors,$65,,https://www.nike.com/t/sportswear-sport-essentials-mens-pullover-hoodie-8pwVbq/DM8882-476
Nike Sportswear Sport Essentials+,Men's Fleece Joggers,4 Colors,$65,,https://www.nike.com/t/sportswear-sport-essentials-mens-fleece-joggers-RLwfrB/DM8884-476
Nike Therma-FIT Repel Run Division Miler,Men's Running Jacket,3 Colors,$110,,https://www.nike.com/t/therma-fit-repel-run-division-miler-mens-running-jacket-dfK1hf/DD6102-010
Nike Dri-FIT Challenger Run Division,"Men's 5"" Brief-Lined Running Shorts",4 Colors,$40,,https://www.nike.com/t/dri-fit-challenger-run-division-mens-5-brief-lined-running-shorts-tcGj92/DD6007-011
Nike Dri-FIT Legend,Men's Training T-Shirt,15 Colors,$25,,https://www.nike.com/t/dri-fit-legend-mens-training-t-shirt-knTPqEkv/718833-886
Nike Pro Dri-FIT Flex Rep,Men's Shorts,5 Colors,$70,,https://www.nike.com/t/pro-dri-fit-flex-rep-mens-shorts-v48gvb/DD1700-010
Nike Dri-FIT ADV Run Division,Men's Short-Sleeve Running Top,3 Colors,$85,,https://www.nike.com/t/dri-fit-adv-run-division-mens-short-sleeve-running-top-FwkzCL/DM4643-610
Nike Dri-FIT Run Division Flex Stride,"Men's 2-In-1 5"" Running Shorts",4 Colors,$70,,https://www.nike.com/t/dri-fit-run-division-flex-stride-mens-2-in-1-5-running-shorts-Xg4vRk/DM4634-610
Nike Sportswear,Men's Fleece Crew,2 Colors,$100,,https://www.nike.com/t/sportswear-mens-fleece-crew-F3zlwq/DD6515-063
Nike Sportswear Tech Essentials,Men's Unlined Commuter Pants,5 Colors,$100,,https://www.nike.com/t/sportswear-tech-essentials-mens-unlined-commuter-pants-P7nF2P/DH4224-203
Nike Sportswear Sport Essentials+,Men's High-Pile Fleece Vest,3 Colors,$90,,https://www.nike.com/t/sportswear-sport-essentials-mens-high-pile-fleece-vest-JtsrdH/DD5025-010
Nike Sportswear Tech Essentials,Men's Woven Unlined Cargo Pants,2 Colors,$120,,https://www.nike.com/t/sportswear-tech-essentials-mens-woven-unlined-cargo-pants-RFpf0L/DH3866-010
Nike Sportswear Club Fleece,Crew,13 Colors,$50,,https://www.nike.com/t/sportswear-club-fleece-crew-TWcqLw/BV2662-410
Nike Sportswear Club,Men's Graphic Shorts,21 Colors,$40,,https://www.nike.com/t/sportswear-club-mens-graphic-shorts-hQgvng/BV2721-410
Nike Sportswear Sport Essentials+,Men's T-Shirt,2 Colors,$25,,https://www.nike.com/t/sportswear-sport-essentials-mens-t-shirt-6xtSXr/DM6381-407
Nike Sportswear Sport Essentials+,Men's Allover Print Shorts,2 Colors,$50,,https://www.nike.com/t/sportswear-sport-essentials-mens-allover-print-shorts-THmQp5/DM6885-407
Nike Sportswear Club,Men's T-Shirt,25 Colors,$25,,https://www.nike.com/t/sportswear-club-mens-t-shirt-ShrJfX/AR4997-610
Nike Sportswear Club,Men's Cargo Shorts,9 Colors,$40,,https://www.nike.com/t/sportswear-club-mens-cargo-shorts-mcX0rZ/CZ9956-010
Nike Therma-FIT Wild Run Element,Men's 1/2-Zip Running Top,2 Colors,$80,,https://www.nike.com/t/therma-fit-wild-run-element-mens-1-2-zip-running-top-BTLzhB/DD6764-097
Nike Therma-FIT Wild Run Phenom Elite,Men's Running Pants,2 Colors,$100,,https://www.nike.com/t/therma-fit-wild-run-phenom-elite-mens-running-pants-zZnht7/DD6766-097
